Average Returns,Iteration
-1019.8041381835938,0
-126.49268341064453,5
-118.5030288696289,10
-113.31661987304688,15
-120.29190826416016,20
-115.60021209716797,25
-130.10531616210938,30
-125.27506256103516,35
-132.53280639648438,40
-126.36949157714844,45
-119.06449127197266,50
-124.70170593261719,55
-110.22730255126953,60
-131.87823486328125,65
-121.68052673339844,70
-139.1233367919922,75
-143.77684020996094,80
-119.22711181640625,85
-136.3834228515625,90
-124.45782470703125,95
-119.67888641357422,100
-127.81438446044922,105
-120.31240844726562,110
-134.74916076660156,115
-118.50926208496094,120
-118.82308197021484,125
-130.8451690673828,130
-118.25037384033203,135
-119.06845092773438,140
-118.69538879394531,145
